한화장반점,동진4길 52 (방어동)
달밤엔불닭발,"내진길 45, 1층 (방어동)"
장강,방어진순환도로 913 (서부동)
옛날돼지국밥,내진길 32 (방어동)
꼬꼬댁치킨,방어진순환도로 855 (전하동)
속초빈대떡,명덕1길 7 (서부동)
상개동돼지국밥,방어진순환도로 929 (서부동)
고기굽는구이씨,명덕6길 21 (서부동)
포차천국,미포1길 7 (동부동)
일미식당,명덕5길 29-1 (서부동)
부산복국,진성8길 136-1 (전하동)
이득등대횟집,주전해안길 148 (주전동)
삼거리집,내진길 20 (방어동)
바닷가횟집,해수욕장1길 42 (화정동)
만원에취하다,바드래2길 14 (전하동)
일미원,등대2길 28 (방어동)
에이호프,방어진순환도로 933 (서부동)
대왕암 감자탕,등대로 5 (화정동)
태화루,바드래길 31 (전하동)
영천반점,내진길 62 (방어동)
한성반점,미포4길 15 (동부동)
제주식당,명덕3길 14 (서부동)
며느리보쌈,옥류로 11 (서부동)
진짜순대,바드래5길 26 (전하동)
영양식당,옥류2길 17 (서부동)
삼대숯불구이,바드래2길 12 (전하동)
낭만포차,"전하로 13, 104호 (전하동, 대성상가아파트)"
제일식당,명덕3길 6 (서부동)
꽃돈,방어진순환도로 613 (화정동)
창원식당,바드래5길 22 (전하동)
아좋다식당,바드래2길 7 (전하동)
멕켄치킨,방어진순환도로 559-2 (화정동)
썬더치킨 전하점,전하로 18 (전하동)
파트너닭발,전하로 18 (전하동)
비치독,주전해안길 54 (주전동)
밀밭경양식,명덕5길 34 (서부동)
더플레이트,방어진순환도로 875 (전하동)
금강솥단지,"명덕4길 8 (서부동, 113-72)"
진하식당,중진2길 2 (방어동)
용궁,방어진순환도로 695 (일산동)
대전횟집,중진2길 20 (방어동)
일미순대집식당,번덕8길 156 (일산동)
방어진삼계탕,내진길 41 (방어동)
북경통닭,바드래1길 3 (전하동)
미도통닭,미포1길 24 (동부동)
장터수육,명덕5길 15 (서부동)
동원반점,진성2길 40 (전하동)
구이점,동해안로 25 (동부동)
사랑채,"번덕로 10 (일산동, 574-11)"
뽀빠이,전하로 21 (전하동)
울산아구찜,"진성3길 14, 1층 104호 (전하동, 해븐하늘빛)"
동화루,월봉10길 67 (방어동)
골목가든,대송9길 23-1 (화정동)
나그네회센터,대송9길 4 (화정동)
만포장,옥류2길 6 (서부동)
막걸리싸롱,진성8길 137 (전하동)
원조구들장삼겹살,옥류로 19-1 (서부동)
명성관,"화정4길 69 (화정동,지상1층)"
광안리 방파제,진성2길 18 (전하동)
남일횟집,주전해안길 107 (주전동)
다오래,진성2길 15 (전하동)
에덴왕갈비,"진성2길 20, 1층 (전하동)"
골목식당,옥류1길 3 (서부동)
쌍팔년도,전하로 22 (전하동)
이여도,화진5길 7 (화정동)
황궁 쟁반 짜장 동구점,대학길 174 (화정동)
멕시칸양념통닭,미포1길 32 (동부동)
블랙타운,진성8길 143 (전하동)
수수경양식,진성6길 19 (전하동)
초원양다리구이,전하로 27 (전하동)
삼동,"꽃바위로 217, 지상1층 (방어동)"
돈사랑,진성8길 136 (전하동)
연성관,대송9길 25 (화정동)
통쉐프치킨,명덕6길 17 (서부동)
처갓집양념치킨 방어진점,동진2길 17 (방어동)
구들장고인돌삼겹살,진성2길 35 (전하동)
고래식당,동진4길 54 (방어동)
미가,월봉6길 52 (방어동)
청송달기약수삼계탕,학문로 15-1 (일산동)
해오름,바드래2길 11 (전하동)
남일곰탕,바드래5길 19 (전하동)
현중상회,전하로 9 (전하동)
미담,진성14길 43 (전하동)
본전실비,"명덕2길 10 (서부동,(지상1층))"
진미만두,"녹수7길 57, 1층 (전하동)"
전세계,명덕3길 6 (서부동)
경북횟집,중진길 39 (방어동)
명가 민물 매운탕,진성2길 18 (전하동)
동그라미분식,진성5길 31 (전하동)
뚱보집,진성8길 140 (전하동)
청도추어탕,중진길 53 (방어동)
삼원횟집,"주전해안길 242 (주전동, 지상2층)"
중국집,월봉10길 103 (방어동)
충원식당,"미포2길 19 (동부동, 194-47)"
용식당,"학문로 6-1 (일산동, 467-18)"
한우미곱,미포4길 19 (동부동)
신토불이보리밥,"녹수8길 56, 1층 (전하동)"
호박터숯불갈비촌,"문재2길 13 (방어동,문현지구 42B-4N)"
우리두리식당,내진1길 20 (방어동)
신사동 보쌈&족발,보성길 10 (일산동)
미황,"북진1길 26 (방어동,(1층))"
페리카나치킨,대송6길 24 (화정동)
황제갈비탕,번덕8길 149 (일산동)
통큰대구막창,미포2길 30 (동부동)
육삼반점,
에이치가든,바드래1길 30 (전하동)
태양식당,번덕1길 19 (일산동)
한성식당,"옥류로 9, 2층 (서부동)"
대복성,월봉8길 31 (화정동)
네네치킨 전하점,진성13길 92 (전하동)
하남성,대송로 19 (일산동)
미림식당,
마야생양고기식육식당,"해수욕장길 4, 1층 (화정동)"
투포케이 24K,남진길 46 (방어동)
동남횟집,보밑길 75 (주전동)
촌당민속촌식당,제기천길 7-1 (서부동)
최강식육식당,진성5길 12 (전하동)
부산국밥.밀면,미포2길 13 (동부동)
달리는 낭만치킨포차,남목11길 9 (동부동)
고향식당,진성4길 5 (전하동)
싹쓰리솥뚜껑,진성8길 143 (전하동)
복조래식당,월봉7길 40 (화정동)
푸짐한해숙이횟집,중진길 41 (방어동)
송림식당,옥류로 28-1 (동부동)
참진앓이,명덕5길 8 (서부동)
아빠하림치킨,화진길 56 (방어동)
꼬맹이 김밥천국,명덕4길 12 (서부동)
꽃바위 동해반점,꽃바위3길 63 (방어동)
경북식당,남목17길 9 (동부동)
꼬부리24시전주콩나물국밥보쌈전하점,진성4길 30 (전하동)
대한육회,명덕5길 22 (서부동)
본가 어탕,남목1길 8 (서부동)
